direct,unit,rep_mar\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 
IN,THS_T,DK_0DKAGO	2 	4 	2 	3 	2 	2 	4 	6 	3 	2 	4 	2 	6 	3 	3 	3 	3 	5 	2 	3 	3 	2 	2 
IN,THS_T,DK_0DKAIT	360 	133 	200 	349 	305 	253 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,DK_0DKANH	2 	2 	3 	2 	2 	2 	2 	2 	2 	3 	2 	2 	3 	2 	3 	3 	2 	2 	2 	2 	3 	2 	2 
IN,THS_T,DK_0DKARD	2 	2 	1 	1 	1 	2 	3 	2 	3 	2 	5 	2 	2 	3 	3 	2 	2 	3 	3 	2 	2 	2 	2 
IN,THS_T,DK_0DKARK	57 	71 	64 	63 	57 	57 	68 	34 	36 	27 	31 	41 	31 	32 	34 	51 	41 	38 	29 	24 	44 	27 	25 
IN,THS_T,DK_0DKARO	3 	2 	1 	1 	1 	2 	3 	2 	3 	2 	5 	2 	2 	3 	3 	2 	2 	3 	2 	5 	8 	2 	1 
IN,THS_T,DK_0DKASH	11 	16 	15 	13 	9 	15 	18 	14 	10 	12 	16 	18 	15 	11 	12 	18 	13 	9 	20 	16 	15 	24 	25 
IN,THS_T,DK_0DKASK	2 	3 	3 	3 	3 	6 	4 	4 	4 	3 	4 	4 	0 	0 	1 	0 	0 	2 	2 	2 	0 	0 	0 
IN,THS_T,DK_0DKASN	7 	21 	13 	28 	24 	62 	111 	77 	29 	10 	66 	83 	54 	43 	65 	78 	61 	89 	58 	76 	78 	99 	92 
IN,THS_T,DK_0DKASV	277 	634 	676 	662 	752 	1100 	475 	406 	687 	464 	951 	1166 	1189 	1899 	1125 	929 	1624 	1411 	1768 	1746 	1540 	1700 	3252 
IN,THS_T,DK_0DKAUB	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	0 	0 	0 	2 
IN,THS_T,DK_0DKAVE	1149 	1158 	1208 	828 	1093 	1079 	1309 	1150 	1130 	1081 	957 	1003 	858 	807 	914 	1120 	669 	935 	628 	547 	719 	626 	910 
IN,THS_T,DK_0DKAVK	4 	4 	3 	3 	1 	2 	3 	1 	2 	3 	3 	3 	3 	2 	3 	2 	2 	2 	2 	2 	: 	: 	: 
IN,THS_T,DK_0DKBAG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	0 	0 	2 	3 
IN,THS_T,DK_0DKBAR	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,DK_0DKBDX	46 	57 	51 	57 	5 	82 	56 	74 	83 	55 	69 	91 	98 	91 	103 	112 	75 	69 	67 	88 	89 	127 	77 
IN,THS_T,DK_0DKBGO	1 	1 	1 	1 	2 	2 	2 	1 	1 	1 	2 	2 	2 	3 	2 	2 	2 	3 	2 	2 	4 	1 	2 
IN,THS_T,DK_0DKBLB	41 	43 	43 	: 	17 	18 	18 	22 	27 	21 	23 	24 	23 	24 	22 	20 	25 	18 	16 	8 	8 	13 	17 
IN,THS_T,DK_0DKBOG	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
IN,THS_T,DK_0DKBOS	14 	12 	11 	8 	12 	15 	17 	17 	19 	13 	11 	15 	15 	15 	16 	15 	16 	16 	15 	13 	12 	14 	12 
IN,THS_T,DK_0DKBRH	68 	64 	61 	55 	43 	59 	79 	93 	93 	103 	101 	108 	101 	102 	95 	98 	96 	96 	90 	82 	82 	88 	77 
IN,THS_T,DK_0DKBSL	2 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,DK_0DKCPH	5085 	5071 	5293 	6159 	5706 	4959 	4582 	4003 	4383 	3903 	4293 	5454 	5502 	5125 	4997 	4810 	4968 	4499 	4949 	6097 	6845 	8149 	8272 
IN,THS_T,DK_0DKCSO	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,DK_0DKDAN	: 	: 	: 	: 	: 	: 	199 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	0 	5 	16 	3 	14 
IN,THS_T,DK_0DKDAS	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	: 	9 	16 	1 	: 	4 	10 	8 	22 	22 
IN,THS_T,DK_0DKDRA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	73 	99 	93 
IN,THS_T,DK_0DKEBJ	2320 	2273 	2203 	2153 	2408 	2717 	3004 	2762 	2519 	1824 	2127 	2026 	2707 	2317 	2105 	1984 	2333 	2066 	2509 	2159 	2250 	2440 	3342 
IN,THS_T,DK_0DKEBT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	946 	1016 	1104 
IN,THS_T,DK_0DKEDL	4 	4 	5 	9 	14 	16 	16 	18 	18 	12 	13 	16 	9 	9 	10 	8 	9 	10 	10 	10 	12 	5 	4 
IN,THS_T,DK_0DKEGN	25 	23 	20 	18 	9 	8 	8 	6 	7 	7 	7 	8 	9 	8 	6 	6 	5 	4 	6 	7 	4 	9 	10 
IN,THS_T,DK_0DKEIT	1195 	750 	: 	456 	592 	563 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,DK_0DKENS	1390 	995 	516 	583 	628 	983 	2113 	2397 	3730 	1369 	3191 	3333 	3131 	3188 	1721 	2730 	4600 	1678 	2083 	2117 	2463 	4098 	6215 
IN,THS_T,DK_0DKFAA	20 	19 	19 	24 	21 	20 	29 	27 	34 	35 	37 	41 	33 	30 	33 	35 	36 	38 	38 	36 	37 	31 	30 
IN,THS_T,DK_0DKFAK	16 	11 	33 	16 	22 	257 	14 	20 	24 	9 	0 	0 	3 	3 	4 	2 	2 	3 	4 	5 	9 	3 	3 
IN,THS_T,DK_0DKFDH	1449 	1433 	1464 	1768 	1277 	1302 	1272 	1394 	1331 	1291 	1250 	1443 	1675 	1727 	1684 	1763 	1599 	1656 	1590 	1650 	1659 	1664 	1659 
IN,THS_T,DK_0DKFDS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 	0 
IN,THS_T,DK_0DKFEJ	18 	17 	16 	16 	15 	14 	12 	15 	13 	13 	15 	13 	18 	46 	55 	34 	29 	10 	5 	5 	5 	4 	3 
IN,THS_T,DK_0DKFGS	68 	120 	79 	78 	99 	105 	101 	42 	42 	32 	40 	48 	52 	51 	46 	51 	25 	27 	27 	28 	31 	35 	33 
IN,THS_T,DK_0DKFMO	6 	5 	5 	5 	5 	6 	6 	6 	7 	6 	6 	6 	8 	22 	22 	14 	11 	4 	4 	4 	3 	2 	4 
IN,THS_T,DK_0DKFRC	2533 	2378 	2010 	2322 	2089 	2198 	2641 	2145 	2506 	2486 	2221 	2772 	2602 	2567 	2563 	2405 	2330 	2388 	2454 	2732 	2695 	2605 	2527 
IN,THS_T,DK_0DKFUH	79 	63 	68 	74 	62 	74 	93 	112 	109 	115 	101 	119 	125 	122 	104 	132 	117 	119 	109 	92 	95 	88 	77 
IN,THS_T,DK_0DKFYH	24 	26 	26 	25 	30 	41 	48 	43 	43 	27 	19 	15 	15 	15 	16 	15 	16 	15 	14 	14 	13 	13 	15 
IN,THS_T,DK_0DKGED	953 	1011 	1021 	800 	858 	819 	765 	753 	762 	701 	670 	889 	929 	857 	724 	594 	556 	547 	564 	486 	361 	327 	287 
IN,THS_T,DK_0DKGFH	584 	273 	537 	580 	862 	513 	248 	220 	106 	61 	72 	49 	66 	30 	45 	37 	270 	112 	508 	602 	602 	720 	613 
IN,THS_T,DK_0DKGRA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	0 	2 	0 	0 
IN,THS_T,DK_0DKGRE	757 	847 	793 	685 	674 	673 	659 	562 	487 	634 	654 	746 	548 	486 	589 	461 	578 	665 	538 	512 	543 	703 	677 
IN,THS_T,DK_0DKHAD	: 	: 	: 	: 	: 	: 	0 	: 	: 	0 	0 	0 	2 	4 	24 	46 	76 	66 	84 	71 	144 	104 	88 
IN,THS_T,DK_0DKHAN	477 	868 	226 	179 	161 	148 	199 	270 	197 	214 	256 	420 	344 	373 	361 	391 	362 	319 	300 	241 	147 	172 	165 
IN,THS_T,DK_0DKHAS	30 	28 	23 	20 	9 	8 	8 	6 	7 	7 	7 	8 	9 	8 	6 	6 	5 	4 	6 	7 	: 	9 	: 
IN,THS_T,DK_0DKHBK	1 	1 	3 	0 	1 	70 	103 	106 	120 	90 	68 	87 	62 	125 	69 	76 	56 	66 	92 	118 	136 	150 	165 
IN,THS_T,DK_0DKHBO	203 	238 	267 	238 	210 	115 	112 	0 	124 	91 	82 	108 	126 	123 	118 	114 	114 	116 	99 	101 	135 	119 	117 
IN,THS_T,DK_0DKHDH	44 	46 	45 	: 	18 	19 	19 	22 	34 	24 	25 	24 	26 	26 	25 	23 	25 	16 	14 	4 	5 	8 	11 
IN,THS_T,DK_0DKHIR	955 	979 	1016 	948 	1059 	838 	758 	805 	697 	684 	625 	641 	664 	769 	730 	700 	751 	685 	532 	597 	746 	488 	453 
IN,THS_T,DK_0DKHLS	2340 	2361 	2312 	2148 	2033 	1982 	1710 	1737 	1748 	1748 	1635 	2016 	2055 	2075 	1988 	2095 	2009 	2152 	2213 	2679 	2683 	2340 	2028 
IN,THS_T,DK_0DKHNB	21 	22 	25 	36 	73 	52 	62 	19 	16 	4 	2 	4 	5 	4 	5 	3 	3 	4 	6 	7 	5 	10 	12 
IN,THS_T,DK_0DKHOH	67 	63 	66 	67 	66 	37 	40 	61 	61 	55 	62 	63 	59 	57 	54 	53 	52 	52 	52 	52 	47 	50 	49 
IN,THS_T,DK_0DKHOR	546 	622 	516 	666 	390 	509 	563 	491 	435 	452 	506 	603 	545 	519 	273 	351 	310 	473 	438 	441 	431 	387 	295 
IN,THS_T,DK_0DKHSL	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	0 	0 	0 	3 
IN,THS_T,DK_0DKHSU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	5 	: 	3 	: 	7 	: 	1 	50 	2 	2 
IN,THS_T,DK_0DKHUN	182 	129 	136 	137 	153 	3 	155 	161 	159 	243 	168 	249 	204 	209 	184 	202 	198 	135 	67 	64 	72 	77 	80 
IN,THS_T,DK_0DKHVA	43 	42 	40 	40 	41 	39 	58 	54 	49 	49 	54 	57 	50 	41 	43 	38 	41 	38 	38 	43 	48 	42 	36 
IN,THS_T,DK_0DKHVN	6 	5 	4 	6 	5 	5 	5 	5 	5 	5 	5 	5 	4 	4 	5 	4 	4 	3 	4 	4 	4 	5 	5 
IN,THS_T,DK_0DKJUE	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	18 	13 	21 	17 	2 	11 	12 	4 	14 	12 	5 
IN,THS_T,DK_0DKKAL	302 	348 	388 	435 	490 	404 	869 	907 	1289 	1278 	1307 	1646 	1666 	1763 	1670 	1710 	1620 	1712 	1514 	1475 	573 	772 	853 
IN,THS_T,DK_0DKKBY	0 	0 	4 	20 	0 	0 	0 	20 	23 	21 	26 	20 	14 	10 	16 	5 	83 	24 	19 	6 	0 	20 	9 
IN,THS_T,DK_0DKKLP	1 	2 	0 	1 	2 	1 	2 	2 	2 	2 	1 	1 	1 	1 	1 	0 	1 	1 	1 	1 	: 	1 	: 
IN,THS_T,DK_0DKKOG	1116 	1167 	1275 	1508 	1135 	961 	1027 	894 	1014 	1062 	788 	803 	917 	724 	778 	809 	733 	594 	536 	538 	577 	576 	546 
IN,THS_T,DK_0DKKOK	1 	4 	13 	20 	22 	20 	27 	18 	19 	27 	32 	66 	57 	35 	30 	32 	32 	36 	32 	46 	29 	24 	25 
IN,THS_T,DK_0DKKOL	939 	1014 	1096 	1069 	964 	1137 	995 	1100 	1004 	864 	821 	1112 	1114 	996 	974 	1024 	947 	900 	902 	870 	876 	763 	731 
IN,THS_T,DK_0DKKON	0 	0 	3 	0 	0 	0 	0 	0 	3 	3 	5 	2 	6 	15 	15 	4 	6 	3 	7 	12 	13 	10 	23 
IN,THS_T,DK_0DKKRA	23 	19 	20 	21 	20 	21 	19 	22 	20 	21 	22 	19 	27 	67 	77 	48 	39 	29 	25 	24 	23 	36 	35 
IN,THS_T,DK_0DKKRR	376 	276 	336 	383 	328 	268 	226 	278 	235 	206 	192 	248 	268 	201 	136 	161 	231 	186 	244 	197 	199 	1422 	3344 
IN,THS_T,DK_0DKKTD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,DK_0DKKTP	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 	: 
IN,THS_T,DK_0DKLGR	: 	: 	: 	: 	: 	: 	0 	0 	2 	1 	0 	0 	1 	3 	1 	1 	2 	: 	: 	0 	0 	4 	1 
IN,THS_T,DK_0DKLOH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	0 	2 
IN,THS_T,DK_0DKLVG	: 	0 	0 	0 	0 	0 	15 	32 	28 	15 	21 	45 	28 	25 	36 	62 	48 	30 	30 	0 	0 	0 	1 
IN,THS_T,DK_0DKLYO	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	: 	: 	130 	220 	165 	255 	226 	262 	229 	237 
IN,THS_T,DK_0DKMAS	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	1 	: 	: 	: 	: 	1 	0 
IN,THS_T,DK_0DKMID	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6 	26 	44 	42 	68 	47 
IN,THS_T,DK_0DKMOM	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	1 	2 	1 	1 	2 	2 	2 	2 	2 	3 	3 	2 	2 
IN,THS_T,DK_0DKMRB	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10 	7 	14 	25 	10 	1 	110 
IN,THS_T,DK_0DKMRS	5 	1 	1 	1 	1 	1 	2 	34 	36 	27 	25 	30 	35 	36 	32 	39 	28 	34 	25 	25 	29 	19 	15 
IN,THS_T,DK_0DKNAK	80 	89 	130 	142 	73 	93 	101 	134 	118 	127 	122 	238 	405 	161 	152 	157 	320 	252 	166 	134 	380 	102 	108 
IN,THS_T,DK_0DKNBG	420 	388 	630 	440 	399 	489 	451 	526 	628 	496 	589 	600 	592 	483 	424 	355 	346 	349 	314 	288 	239 	1498 	3568 
IN,THS_T,DK_0DKNDB	42 	47 	52 	48 	35 	36 	39 	33 	44 	34 	40 	41 	28 	26 	28 	26 	23 	24 	22 	23 	26 	26 	46 
IN,THS_T,DK_0DKNEX	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	3 	2 	7 	8 	13 	16 	13 	15 	15 	21 
IN,THS_T,DK_0DKNRS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 
IN,THS_T,DK_0DKNUD	1 	12 	13 	6 	2 	14 	17 	21 	23 	15 	18 	18 	20 	20 	21 	22 	18 	19 	20 	20 	18 	15 	14 
IN,THS_T,DK_0DKNVD	384 	550 	390 	388 	367 	265 	289 	316 	268 	266 	236 	351 	418 	343 	330 	286 	319 	282 	319 	347 	296 	239 	157 
IN,THS_T,DK_0DKNYF	334 	269 	262 	300 	210 	222 	242 	270 	239 	301 	293 	410 	453 	237 	214 	230 	184 	198 	224 	202 	221 	232 	213 
IN,THS_T,DK_0DKNYM	74 	70 	65 	58 	65 	59 	72 	87 	63 	52 	65 	85 	50 	53 	38 	46 	41 	43 	29 	42 	38 	36 	32 
IN,THS_T,DK_0DKODE	1249 	1777 	1752 	1457 	1865 	1849 	1250 	1776 	1533 	1586 	1607 	2366 	1945 	1742 	1766 	1621 	1394 	1414 	1153 	1271 	1396 	1317 	2225 
IN,THS_T,DK_0DKOMO	3 	1 	1 	2 	3 	4 	1 	1 	2 	1 	2 	2 	1 	3 	3 	2 	2 	2 	2 	2 	2 	2 	1 
IN,THS_T,DK_0DKORE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15 
IN,THS_T,DK_0DKORO	1 	2 	4 	1 	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
IN,THS_T,DK_0DKRAN	1011 	1149 	1073 	930 	915 	893 	725 	857 	994 	819 	800 	971 	982 	840 	840 	899 	687 	704 	614 	794 	733 	755 	759 
IN,THS_T,DK_0DKRKB	2 	2 	12 	3 	2 	25 	6 	29 	19 	36 	27 	50 	35 	36 	28 	25 	37 	38 	46 	44 	27 	29 	32 
IN,THS_T,DK_0DKRNN	820 	838 	773 	795 	743 	745 	734 	858 	845 	716 	806 	954 	866 	904 	813 	771 	811 	733 	691 	669 	669 	640 	636 
IN,THS_T,DK_0DKROD	31 	31 	42 	55 	53 	60 	137 	107 	84 	56 	60 	51 	49 	58 	60 	53 	50 	52 	36 	46 	39 	37 	38 
IN,THS_T,DK_0DKROF	4203 	4368 	4263 	3601 	3337 	3148 	3232 	3070 	3029 	2916 	2609 	3074 	3219 	2878 	2620 	2455 	2316 	2384 	2475 	2489 	2347 	2402 	2737 
IN,THS_T,DK_0DKROR	736 	724 	802 	846 	683 	669 	557 	621 	589 	401 	430 	835 	882 	949 	831 	819 	782 	822 	896 	858 	888 	940 	893 
IN,THS_T,DK_0DKRRV	3 	4 	4 	3 	3 	3 	3 	3 	2 	2 	2 	3 	3 	3 	3 	3 	3 	2 	2 	2 	4 	3 	3 
IN,THS_T,DK_0DKSAX	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,DK_0DKSBK	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	158 	95 	87 	93 	101 	90 	79 	62 	66 	0 
IN,THS_T,DK_0DKSDO	2 	1 	1 	0 	1 	1 	0 	0 	0 	0 	0 	0 	1 	1 	1 	1 	2 	2 	1 	1 	: 	: 	: 
IN,THS_T,DK_0DKSEO	7 	4 	6 	9 	7 	5 	5 	4 	7 	7 	6 	7 	8 	7 	9 	6 	7 	7 	6 	6 	7 	6 	5 
IN,THS_T,DK_0DKSGD	: 	: 	: 	: 	: 	1 	9 	71 	49 	108 	76 	59 	73 	69 	31 	63 	45 	25 	23 	19 	26 	33 	38 
IN,THS_T,DK_0DKSIT	579 	462 	394 	2007 	2230 	1815 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,DK_0DKSJO	24 	33 	51 	73 	93 	85 	23 	1 	0 	0 	1 	1 	1 	2 	2 	1 	2 	2 	3 	3 	948 	1016 	1103 
IN,THS_T,DK_0DKSKA	223 	316 	140 	346 	110 	98 	124 	154 	171 	177 	167 	156 	176 	187 	147 	143 	171 	177 	144 	128 	143 	141 	144 
IN,THS_T,DK_0DKSKB	333 	310 	157 	0 	: 	: 	0 	3 	4 	0 	22 	20 	15 	54 	: 	: 	: 	8 	2 	: 	9 	74 	521 
IN,THS_T,DK_0DKSKV	111 	82 	73 	94 	73 	103 	94 	139 	78 	64 	84 	94 	59 	72 	90 	68 	85 	86 	85 	115 	88 	77 	64 
IN,THS_T,DK_0DKSLV	69 	187 	68 	67 	64 	37 	44 	60 	60 	55 	61 	62 	59 	54 	54 	52 	51 	53 	46 	47 	47 	46 	46 
IN,THS_T,DK_0DKSNO	3 	1 	3 	1 	4 	4 	3 	1 	1 	1 	2 	1 	1 	2 	1 	2 	1 	2 	2 	2 	2 	2 	2 
IN,THS_T,DK_0DKSOB	28 	35 	30 	29 	32 	30 	33 	39 	50 	42 	38 	44 	46 	40 	53 	62 	47 	45 	55 	58 	59 	52 	41 
IN,THS_T,DK_0DKSPB	226 	180 	204 	210 	201 	212 	173 	179 	143 	165 	220 	196 	198 	175 	170 	174 	179 	149 	140 	122 	118 	147 	205 
IN,THS_T,DK_0DKSSK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	0 	: 	0 	0 	0 	13 
IN,THS_T,DK_0DKSSV	734 	909 	778 	983 	635 	623 	1112 	877 	1122 	762 	1087 	1182 	1083 	1386 	755 	1112 	1333 	1135 	841 	803 	1028 	1195 	2104 
IN,THS_T,DK_0DKSTG	229 	548 	769 	906 	1003 	1349 	508 	16 	3 	580 	180 	479 	737 	969 	461 	464 	1297 	172 	387 	277 	393 	284 	868 
IN,THS_T,DK_0DKSTN	3 	3 	4 	4 	5 	6 	3 	4 	5 	4 	5 	4 	3 	6 	5 	4 	3 	4 	3 	3 	3 	3 	4 
IN,THS_T,DK_0DKSTP	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,DK_0DKSTR	56 	73 	87 	61 	74 	148 	137 	109 	127 	26 	119 	159 	135 	168 	133 	150 	167 	202 	230 	174 	206 	214 	215 
IN,THS_T,DK_0DKSTT	5082 	5309 	5411 	5071 	5397 	4448 	4441 	4725 	4350 	4548 	4944 	4929 	4593 	4795 	5090 	5425 	5139 	4460 	4895 	5105 	5070 	4986 	5111 
IN,THS_T,DK_0DKSUE	43 	42 	40 	40 	41 	39 	58 	54 	49 	49 	54 	57 	51 	41 	43 	38 	41 	38 	38 	43 	48 	42 	36 
IN,THS_T,DK_0DKSVE	84 	88 	94 	84 	76 	106 	107 	64 	81 	83 	107 	86 	121 	107 	140 	127 	156 	110 	80 	75 	63 	81 	110 
IN,THS_T,DK_0DKSVV	769 	825 	711 	706 	671 	610 	599 	496 	672 	557 	352 	592 	697 	564 	565 	613 	490 	255 	507 	524 	461 	553 	584 
IN,THS_T,DK_0DKTED	2 	2 	2 	0 	1 	10 	7 	5 	3 	14 	21 	67 	33 	21 	15 	11 	25 	14 	30 	27 	38 	23 	20 
IN,THS_T,DK_0DKTNO	1 	1 	1 	1 	3 	2 	1 	1 	1 	2 	2 	2 	2 	3 	2 	2 	2 	1 	2 	1 	1 	1 	1 
IN,THS_T,DK_0DKTRS	166 	179 	197 	200 	179 	182 	167 	157 	157 	161 	217 	196 	198 	175 	170 	174 	179 	147 	134 	109 	109 	129 	175 
IN,THS_T,DK_0DKTYB	1031 	1092 	1188 	1059 	646 	678 	670 	764 	671 	411 	900 	1009 	731 	751 	647 	557 	488 	627 	531 	301 	176 	160 	136 
IN,THS_T,DK_0DKUDN	6 	5 	6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,DK_0DKUDS	6 	5 	5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,DK_0DKUNX	14 	10 	16 	20 	16 	10 	8 	10 	8 	12 	14 	6 	6 	6 	4 	7 	9 	6 	8 	8 	10 	6 	4 
IN,THS_T,DK_0DKVEJ	759 	322 	184 	498 	827 	615 	737 	721 	736 	669 	637 	988 	1050 	991 	810 	849 	775 	818 	675 	723 	782 	855 	876 
IN,THS_T,DK_0DKVEN	1 	3 	1 	2 	2 	5 	3 	2 	5 	2 	4 	1 	2 	1 	2 	2 	5 	2 	1 	7 	3 	2 	3 
IN,THS_T,DK_0DKVES	27 	30 	30 	27 	26 	22 	24 	25 	24 	24 	26 	32 	32 	30 	28 	28 	26 	24 	23 	23 	25 	19 	20 
IN,THS_T,DK_0DKVNG	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 
IN,THS_T,DK_0DKVOR	314 	309 	186 	56 	102 	43 	47 	44 	35 	20 	29 	74 	35 	38 	33 	75 	73 	64 	73 	84 	87 	65 	136 
IN,THS_T,DK_0DKVSV	: 	: 	: 	0 	3 	5 	846 	462 	896 	1027 	1038 	923 	1276 	969 	661 	1100 	1089 	698 	715 	643 	554 	81 	679 
IN,THS_T,EE	12362 	11373 	11325 	11069 	10331 	13723 	11089 	11932 	13211 	11493 	8971 	8149 	7876 	6765 	4557 	4042 	4664 	3718 	3762 	: 	: 	: 	: 
IN,THS_T,EEA31	: 	2505415 	2432419 	2362283 	2352884 	: 	: 	: 	: 	: 	: 	: 	: 	2518066 	2427615 	2348262 	2254322 	2191240 	: 	: 	: 	: 	: 
IN,THS_T,EE_0EE888	1444 	1587 	1590 	1328 	1317 	1226 	1423 	1082 	977 	838 	979 	970 	1066 	638 	393 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,EE_0EEHLT	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,EE_0EEKND	299 	271 	216 	225 	200 	278 	356 	472 	330 	475 	226 	310 	632 	250 	177 	312 	147 	143 	92 	: 	: 	: 	: 
IN,THS_T,EE_0EEKUI	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,EE_0EEMDR	43 	27 	73 	140 	160 	78 	103 	319 	440 	291 	176 	157 	113 	3 	4 	24 	: 	: 	0 	: 	: 	: 	: 
IN,THS_T,EE_0EEPAR	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,EE_0EEPLN	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15 	: 	: 	: 	: 
IN,THS_T,EE_0EEPRN	325 	220 	218 	212 	231 	176 	123 	272 	433 	397 	443 	80 	174 	130 	199 	225 	199 	80 	37 	: 	: 	: 	: 
IN,THS_T,EE_0EERHK	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,EE_0EESLM	2130 	1575 	1928 	996 	525 	518 	596 	859 	707 	640 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,EE_0EETLL	7749 	7494 	7086 	8001 	7790 	10881 	7955 	8358 	10016 	8719 	6897 	6420 	5654 	5633 	3706 	3394 	4235 	3406 	3591 	: 	: 	: 	: 
IN,THS_T,EE_0EEVEB	373 	200 	214 	166 	107 	565 	534 	569 	308 	132 	250 	212 	238 	111 	79 	86 	82 	89 	27 	: 	: 	: 	: 
